행정구역,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_0세,2020년_계_1세,2020년_계_2세,2020년_계_3세,2020년_계_4세,2020년_계_5세,2020년_계_6세,2020년_계_7세,2020년_계_8세,2020년_계_9세,2020년_계_10세,2020년_계_11세,2020년_계_12세,2020년_계_13세,2020년_계_14세,2020년_계_15세,2020년_계_16세,2020년_계_17세,2020년_계_18세,2020년_계_19세,2020년_계_20세,2020년_계_21세,2020년_계_22세,2020년_계_23세,2020년_계_24세,2020년_계_25세,2020년_계_26세,2020년_계_27세,2020년_계_28세,2020년_계_29세,2020년_계_30세,2020년_계_31세,2020년_계_32세,2020년_계_33세,2020년_계_34세,2020년_계_35세,2020년_계_36세,2020년_계_37세,2020년_계_38세,2020년_계_39세,2020년_계_40세,2020년_계_41세,2020년_계_42세,2020년_계_43세,2020년_계_44세,2020년_계_45세,2020년_계_46세,2020년_계_47세,2020년_계_48세,2020년_계_49세,2020년_계_50세,2020년_계_51세,2020년_계_52세,2020년_계_53세,2020년_계_54세,2020년_계_55세,2020년_계_56세,2020년_계_57세,2020년_계_58세,2020년_계_59세,2020년_계_60세,2020년_계_61세,2020년_계_62세,2020년_계_63세,2020년_계_64세,2020년_계_65세,2020년_계_66세,2020년_계_67세,2020년_계_68세,2020년_계_69세,2020년_계_70세,2020년_계_71세,2020년_계_72세,2020년_계_73세,2020년_계_74세,2020년_계_75세,2020년_계_76세,2020년_계_77세,2020년_계_78세,2020년_계_79세,2020년_계_80세,2020년_계_81세,2020년_계_82세,2020년_계_83세,2020년_계_84세,2020년_계_85세,2020년_계_86세,2020년_계_87세,2020년_계_88세,2020년_계_89세,2020년_계_90세,2020년_계_91세,2020년_계_92세,2020년_계_93세,2020년_계_94세,2020년_계_95세,2020년_계_96세,2020년_계_97세,2020년_계_98세,2020년_계_99세,2020년_계_100세 이상
서울특별시 종로구 (1111000000),149384,149384,469,585,586,676,764,843,869,833,990,912,1018,933,1036,1118,1047,980,1115,1123,1161,1482,1835,1868,2016,2288,2467,2604,2583,2606,2616,2533,2311,2012,2007,1951,1803,1894,1740,2006,2050,2169,2070,2176,1802,1917,1984,2084,2269,2470,2593,2866,2782,2657,2634,2510,2309,2481,2522,2390,2580,2594,2635,2341,2190,2270,2048,2170,1789,1595,1743,1167,1332,1411,1373,1473,1143,1103,1122,1121,1314,1108,925,964,795,674,641,551,464,374,322,268,216,190,160,132,104,76,61,53,57,44,276
서울특별시 중구 (1114000000),125240,125240,612,624,623,682,740,729,682,720,743,681,639,569,615,682,587,580,683,693,766,959,1332,1340,1455,1708,1819,1930,2113,2256,2384,2249,2092,2025,2096,1997,1921,1968,1861,2025,2078,2044,2008,1884,1614,1642,1587,1649,1772,1783,1927,2145,2076,2167,2194,2069,1825,1976,2055,2011,2117,2212,2215,2058,1946,1975,1857,1845,1664,1396,1551,1044,1249,1238,1189,1255,987,944,934,917,1094,926,710,725,650,538,557,450,377,351,257,221,183,194,138,115,67,50,44,46,36,27,205
서울특별시 용산구 (1117000000),230040,230040,1085,1221,1249,1288,1455,1473,1411,1382,1507,1425,1452,1398,1376,1530,1436,1417,1615,1625,1715,2045,2489,2566,2649,3017,3036,3479,3753,3891,4264,4341,4045,3861,3842,3678,3632,3688,3598,3754,4013,3958,3901,3504,3113,3301,3179,3249,3587,3692,4001,4171,4125,4116,3907,3678,3307,3602,3492,3461,3702,3680,3702,3577,3223,3341,2991,3034,2598,2274,2379,1721,1943,1955,1962,1962,1593,1496,1501,1511,1777,1503,1260,1232,1153,1047,948,810,679,549,480,414,324,314,241,179,135,110,97,102,70,55,371
서울특별시 성동구 (1120000000),293556,293556,1873,1935,1967,2058,2228,2226,2099,2032,2068,1963,1840,1705,1841,1985,1746,1776,2001,1990,2162,2769,3427,3497,3822,4230,4614,4879,5095,5126,5249,5104,4804,4657,4841,4653,4721,4846,4818,5089,5247,5229,4972,4724,3995,4167,4136,4168,4335,4699,4733,5091,5051,5030,4956,4631,4251,4746,4625,4395,4764,4799,5030,4470,4242,4108,3791,3769,3237,2782,2987,2118,2379,2432,2258,2460,2004,1722,1822,1770,2123,1616,1401,1317,1149,1049,955,726,671,500,420,332,282,221,198,141,91,74,53,47,48,30,251
서울특별시 광진구 (1121500000),346682,346682,1402,1612,1672,1753,1912,2163,2101,2194,2426,2337,2378,2242,2456,2643,2518,2376,2596,2750,2683,3289,4248,4483,5160,5796,6506,6970,7422,7421,7687,7247,6269,6140,5891,5481,5332,5298,4959,5413,5653,5547,5438,5268,4397,5018,4753,4964,5306,5561,5708,6069,5861,5766,5842,5539,5114,5360,5168,4975,5367,5549,5659,5241,4941,4817,4264,4541,3715,3249,3645,2388,2656,2546,2765,2702,2183,1869,1940,1894,2134,1739,1459,1434,1255,1066,891,835,636,494,441,339,281,259,184,169,97,83,68,53,46,37,218
서울특별시 동대문구 (1123000000),342837,342837,1631,1860,1850,2008,2168,2306,2224,2145,2363,2233,2263,2074,2240,2341,2140,2080,2257,2430,2518,3304,4357,4508,5244,5793,6129,6254,6340,6052,5956,5698,5264,4926,4917,4661,4667,4785,4675,5236,5524,5520,5272,5207,4428,4783,4594,4799,5054,5332,5430,5731,5710,5656,5502,5203,5048,5202,5085,4869,5376,5611,5855,5540,5153,5180,4664,5001,4288,3732,4124,2856,3171,3177,3237,3340,2690,2472,2443,2522,2851,2292,1917,1804,1582,1353,1195,1037,922,699,586,426,356,295,246,201,122,89,80,82,69,42,313
서울특별시 중랑구 (1126000000),394702,394702,1761,2012,2092,2191,2475,2559,2321,2483,2624,2546,2481,2375,2469,2547,2508,2358,2658,2901,2951,3511,4176,4201,4564,5176,5505,6088,6492,6556,6906,6448,6015,5798,5814,5574,5552,5526,5531,5761,6297,6256,6352,5908,4920,5296,5107,5256,5722,6119,6277,6926,6738,7007,7152,6839,6439,6893,6918,6584,7286,7672,7676,7273,6538,6496,5908,6169,5304,4529,4876,3453,3723,3779,3736,3809,3038,2631,2672,2568,3055,2434,1952,1941,1628,1376,1200,1089,868,699,555,450,362,300,288,187,137,101,73,65,51,37,206
서울특별시 성북구 (1129000000),437153,437153,2013,2217,2380,2594,3016,3218,3173,3163,3503,3545,3484,3272,3394,3759,3431,3375,3776,3872,3942,4840,5903,6079,6368,7066,6945,7169,7222,6862,6824,6534,5894,5721,5550,5561,5565,5702,5677,6443,6727,7003,6818,6765,5839,6166,6362,6648,7346,7647,7925,8323,8076,7839,7592,6894,6341,6582,6582,6101,6610,6764,7072,6582,6134,6151,5599,5857,4948,4401,4867,3286,3785,3856,3777,3877,3269,2831,2937,2936,3523,2777,2340,2296,1948,1716,1446,1373,1059,823,694,534,476,397,330,273,182,122,91,87,61,54,384
서울특별시 강북구 (1130500000),308055,308055,1003,1149,1309,1503,1651,1694,1658,1807,1979,1961,1986,1967,1949,2121,2025,1975,2216,2427,2455,2906,3507,3604,3913,4291,4356,4594,4755,4613,4789,4522,3905,3828,3733,3530,3557,3670,3637,4084,4419,4394,4422,4534,3818,4211,4184,4364,4893,5208,5302,5782,5540,5460,5535,5223,4733,5177,5026,4998,5368,5582,5800,5464,5030,5031,4615,4908,4249,3689,4062,3044,3302,3404,3479,3567,2793,2599,2651,2604,3151,2537,1960,1890,1601,1387,1264,1079,778,646,515,396,345,294,233,180,121,102,76,63,51,44,249
서울특별시 도봉구 (1132000000),325257,325257,1171,1450,1590,1756,1948,2049,2169,2016,2333,2293,2319,2230,2265,2577,2312,2250,2689,2803,2893,3289,3876,3807,3953,4366,4406,4581,4671,4679,4646,4427,4061,3945,3864,3716,3673,3907,3899,4386,4734,4808,4801,4585,3897,4333,4349,4579,5028,5413,5513,6037,5986,5830,5992,5561,5362,5541,5495,5331,5854,6068,6450,6040,5598,5647,5151,5399,4492,3795,4174,2994,3209,3140,3277,3302,2594,2306,2365,2377,2870,2266,1886,1864,1578,1351,1183,1049,818,755,634,485,369,318,305,210,152,95,73,71,48,30,175
서울특별시 노원구 (1135000000),523037,523037,2188,2478,2595,2968,3274,3705,3717,3778,4278,4201,4517,4368,5080,5328,4981,5122,5657,5877,5765,6540,7538,7151,7534,7872,7511,7591,7161,7098,7089,6637,6125,6063,6130,5884,6024,6150,6219,6986,7531,7628,7840,7927,6986,7773,7882,8299,9242,9777,9953,10561,10290,9922,9653,8802,8044,8212,7975,7856,8466,8608,8734,8130,7784,7560,7002,7290,6144,5305,5813,4042,4487,4477,4276,4430,3564,3123,3200,3136,3821,3022,2616,2530,2215,1948,1628,1575,1295,1067,919,701,616,499,391,303,203,136,116,110,80,54,288
서울특별시 은평구 (1138000000),479835,479835,2090,2379,2538,2743,3089,3353,3197,3204,3651,3460,3567,3426,3559,3842,3683,3479,3957,4217,4270,4676,5507,5497,5686,6340,6652,6919,7394,7591,7848,7624,6863,6478,6525,6344,6268,6533,6475,7339,7719,7958,7802,7552,6353,7131,6908,7245,7897,8444,8410,8886,8539,8370,8223,7616,7035,7292,7377,7152,7614,8056,8232,7889,7191,7109,6562,6777,5956,5215,5510,3997,4456,4559,4516,4706,3776,3335,3332,3327,3959,3155,2628,2599,2150,1963,1715,1423,1165,891,766,597,480,435,316,261,166,137,106,100,66,45,425
서울특별시 서대문구 (1141000000),312173,312173,1570,1627,1810,1892,2161,2231,2275,2166,2330,2113,2233,2148,2069,2227,2238,2114,2400,2551,2518,3124,3914,4035,4411,4917,5361,5581,5690,5568,5399,5480,4648,4448,4423,4258,4214,4436,4241,4605,4904,4932,4787,4669,4087,4447,4274,4418,4886,5010,5242,5667,5430,5400,5230,5031,4484,4836,4754,4493,4810,4899,5081,4614,4420,4307,3879,4133,3474,3057,3272,2321,2665,2670,2605,2949,2383,2058,2120,2170,2617,2067,1810,1840,1518,1330,1194,1106,818,647,579,404,366,346,232,199,140,100,82,78,56,52,298
서울특별시 마포구 (1144000000),371890,371890,1995,2122,2297,2364,2725,2738,2671,2506,2873,2608,2680,2589,2831,2990,2680,2578,2825,2906,2828,3465,4298,4475,4894,5775,6220,6803,7036,7245,7621,7537,6658,6520,6422,6278,6207,6298,6053,6624,6749,6677,6271,6207,5226,5860,5705,5818,6166,6474,6500,6768,6336,6271,5830,5461,4841,5311,5167,4839,5066,5133,5328,4817,4348,4481,4003,4256,3453,3093,3492,2288,2678,2782,2718,2867,2226,2161,2178,2138,2539,2022,1748,1721,1444,1377,1129,1059,823,694,618,483,373,339,271,199,131,100,65,88,59,44,346
서울특별시 양천구 (1147000000),454251,454251,1831,2143,2293,2622,3034,3419,3661,3868,4338,4343,4645,4529,5250,5504,4887,4863,5283,5312,5218,5381,5870,5723,5584,5832,5938,6070,6144,6160,6259,6194,5406,5380,5254,5150,5209,5536,5595,6331,6805,7154,7341,7530,6663,7285,7417,7678,8449,8561,8825,9244,8810,8643,8254,7651,7072,7263,7341,6675,7411,7375,7539,6981,6458,6390,5836,6262,5215,4567,4883,3420,3773,3660,3561,3430,2759,2274,2366,2248,2536,1986,1678,1675,1390,1320,1064,973,823,719,596,483,408,336,253,206,138,107,61,91,49,44,187
서울특별시 강서구 (1150000000),580185,580185,3053,3279,3393,3630,4126,4335,4215,4273,4758,4498,4209,4019,4324,4508,4142,4057,4543,4743,4852,5297,6227,5932,6520,7358,8024,9272,10093,10827,11296,11442,10543,10188,10018,9371,9548,9407,9104,10112,10410,10361,9993,9810,8290,8648,8402,8482,9198,9327,9243,9495,9179,9065,8827,8181,7752,8339,8240,8093,8977,9543,9751,9391,8549,8577,7793,8247,6817,6171,6575,4469,5025,4990,4776,4875,3752,3240,3198,2950,3441,2668,2447,2265,1943,1656,1477,1462,1096,984,811,637,597,506,388,313,225,164,121,89,68,51,239
서울특별시 구로구 (1153000000),404408,404408,2209,2458,2592,2677,2933,3110,2930,3002,3189,3099,3097,2862,2906,2995,2826,2670,2950,3038,3236,3609,4238,4207,4470,5047,5389,5980,6329,6388,6713,6654,6225,6130,6285,6100,5984,5987,6029,6552,7001,6854,6791,6677,5593,5956,5964,5750,6449,6606,6547,6870,6640,6536,6563,6190,5862,6229,6189,5867,6493,6761,7113,6580,6253,6122,5656,5945,5168,4742,4825,3579,3969,4002,3822,3934,2994,2637,2684,2528,3002,2232,1912,1815,1666,1308,1206,1059,846,663,543,425,358,297,233,177,138,93,64,79,53,24,179
서울특별시 금천구 (1154500000),231733,231733,1007,1068,1135,1232,1333,1445,1293,1215,1489,1331,1354,1254,1271,1449,1357,1331,1485,1588,1670,1910,2339,2447,2824,3204,3551,4072,4420,4812,4790,4668,4159,3794,3717,3516,3390,3313,3220,3394,3528,3450,3446,3246,2784,2942,2880,3103,3326,3640,3653,3883,3954,3942,4092,3808,3871,4023,4086,3866,4315,4335,4467,4222,3821,3545,3344,3412,2998,2522,2721,2067,2279,2162,2102,2163,1729,1536,1499,1462,1750,1377,1114,1090,877,724,626,607,470,392,323,256,211,158,153,111,58,55,43,35,36,19,177
서울특별시 영등포구 (1156000000),379480,379480,2258,2567,2534,2607,2822,2854,2634,2445,2682,2433,2399,2194,2275,2388,2188,2132,2424,2535,2574,3169,3737,3775,4236,4835,5337,6192,7065,7421,8176,8302,7441,7331,7378,6884,6757,6775,6492,6590,6982,6615,6200,6078,4992,5397,5264,5140,5525,5725,5864,6253,5949,6059,5887,5554,5292,5584,5741,5259,5703,5903,6046,5632,5376,5283,4676,5115,4249,3659,4107,2929,3361,3284,3185,3267,2626,2279,2302,2267,2689,2120,1752,1818,1447,1364,1247,1100,884,695,598,434,355,301,252,200,128,108,78,76,56,44,287
서울특별시 동작구 (1159000000),391220,391220,1890,1980,2178,2331,2563,2834,2696,2601,2827,2664,2750,2545,2565,2701,2550,2452,2775,2843,2970,3670,4506,4690,5442,6131,6834,7396,7877,7883,7958,7828,6811,6651,6440,6116,5771,5832,5656,6189,6362,6268,6245,6193,5221,5530,5533,5546,5972,5992,6132,6548,6239,6345,6143,5776,5199,5580,5785,5424,5835,6017,6284,5849,5456,5460,4962,5240,4445,3948,4318,3200,3433,3506,3516,3593,3018,2499,2558,2451,2879,2302,1997,1876,1591,1377,1267,1075,931,731,611,439,402,354,297,220,159,107,93,87,52,43,313
서울특별시 관악구 (1162000000),495060,495060,1745,1851,1898,2106,2298,2515,2415,2375,2558,2611,2540,2380,2536,2724,2551,2596,2795,3057,3186,4235,5444,5937,7450,9280,11109,12686,14240,14603,14724,13662,11641,10683,9727,8785,8063,7674,7152,7435,7908,7713,7424,7138,5996,6323,6270,6345,6921,7166,7203,7698,7286,7216,7058,6699,6215,6679,6575,6356,7019,6949,7513,6994,6468,6295,5936,6357,5455,4756,5419,4050,4414,4484,4314,4404,3556,3127,3264,3046,3678,2889,2339,2209,1874,1577,1293,1138,884,748,621,458,405,342,276,214,165,93,81,81,60,36,323
서울특별시 서초구 (1165000000),425126,425126,2043,2331,2681,2821,3249,3672,3939,4142,4533,4440,4677,4376,4821,4799,4430,4293,4633,4394,4307,4599,5136,4732,4963,5040,5273,5460,5723,5933,6314,6517,5900,6036,6009,5790,5917,5904,6033,6728,7341,7566,7704,7671,6783,7534,7436,7360,8123,8196,8273,8275,8150,7653,7023,6535,5362,5840,5931,5551,5547,5605,5751,5595,5373,5407,4881,5216,4286,4151,4196,2941,3304,3423,3403,3375,2826,2417,2295,2192,2294,1905,1575,1477,1243,1197,969,973,772,612,558,411,374,362,291,220,162,125,85,108,55,47,232
서울특별시 강남구 (1168000000),539231,539231,2159,2504,2594,2972,3392,3877,4252,4613,5163,5240,5382,5303,6187,6476,5790,5759,6025,6159,5820,6233,7062,6118,6547,6602,6953,7317,7900,8213,8615,8613,8158,8002,7876,7604,7656,7603,7743,8514,9139,9543,9516,9929,8617,9543,9493,9660,10225,10413,10837,11033,10558,9926,8967,8260,6971,7616,7392,6955,6815,6890,7017,6649,6464,6681,6167,6518,5532,5198,5615,3582,4190,4303,4274,4206,3622,2964,2855,2607,2864,2282,2001,1710,1568,1404,1153,1107,919,695,692,564,476,456,334,267,198,173,108,102,60,64,296
서울특별시 송파구 (1171000000),667960,667960,3532,4052,4269,4706,5425,5595,5610,5531,6159,5865,5939,5609,5677,6114,5722,5399,5888,6035,5960,6725,7895,7463,7609,8405,8865,9787,10447,10828,11356,11464,10898,10752,10697,10590,10643,10601,10504,11459,12293,12153,11997,11811,9684,10486,10195,10195,10779,11025,11290,11837,11260,11235,10838,10189,9294,10022,9813,9558,9997,10360,10738,10090,9319,9683,8435,9230,7654,6853,7328,4854,5298,5290,5001,5059,4068,3359,3302,3033,3350,2680,2202,2093,1806,1642,1422,1355,1107,997,845,663,537,496,411,316,224,159,118,120,79,59,299
서울특별시 강동구 (1174000000),459970,459970,2575,2978,2974,3151,3623,3865,3873,3763,4074,3874,3927,3695,3963,4113,3623,3458,3859,3951,3993,4379,5185,4870,5167,5504,5910,6458,6801,6846,7451,7265,6880,6762,6784,6712,6737,7044,6901,7666,8136,8464,8151,8043,6825,7146,6794,6786,7312,7483,7686,7818,7535,7514,7588,7015,6585,6869,7125,6760,7543,7693,8209,7702,7135,7060,6436,6821,5831,4912,5493,3645,3911,4010,3933,3761,3000,2547,2434,2339,2650,2047,1674,1578,1418,1203,1047,1000,818,675,589,448,384,382,301,246,172,103,94,82,57,43,255
